NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,SOURCE,WEBSITE,OWNER,BEDS,HELIPAD
CAMC TEAYS VALLEY HOSPITAL,1400 HOSPITAL DRIVE,HURRICANE,WV,25526,NOT AVAILABLE,(304) 757-1700,GENERAL ACUTE CARE,OPEN,70,PUTNAM,USA,38.451685564,-81.952102859,https://ohflac.wvdhhr.org/Apps/Lookup/FacilitySearch,http://www.camc.org,NON-PROFIT,70,Y
VA MEDICAL CENTER - BECKLEY,200 VETERANS AVE,BECKLEY,WV,25801,NOT AVAILABLE,(304) 255-2121,MILITARY,OPEN,-999,RALEIGH,USA,37.764965481,-81.193200772,https://www.va.gov/directory/guide/allstate.asp,http://www.beckley.va.gov/,GOVERNMENT - FEDERAL,-999,N
KINGS DAUGHTERS MEDICAL CENTER,2201 LEXINGTON AVE,ASHLAND,KY,41101,NOT AVAILABLE,(606) 327-4401,GENERAL ACUTE CARE,OPEN,455,BOYD,USA,38.469941405,-82.634516334,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.kdmc.com,NON-PROFIT,455,Y
BOURBON COMMUNITY HOSPITAL,9 LINVILLE DRIVE,PARIS,KY,40361,NOT AVAILABLE,(859) 987-1000,GENERAL ACUTE CARE,OPEN,58,BOURBON,USA,38.221193905,-84.238352412,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.bourbonhospital.com,PROPRIETARY,58,Y
GATEWAY REHABILITATION HOSPITAL AT FLORENCE,5940 MERCHANT STREET,FLORENCE,KY,41042,NOT AVAILABLE,(859) 426-2400,REHABILITATION,OPEN,40,BOONE,USA,39.008040398,-84.655139219,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.gatewayflorence.com/,PROPRIETARY,40,N
MEMORIAL HOSPITAL,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226,NOT AVAILABLE,(618) 233-7750,GENERAL ACUTE CARE,OPEN,345,ST. CLAIR,USA,38.549818487,-90.021616557,https://data.illinois.gov/,http://www.memhosp.com,NON-PROFIT,345,Y
FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,NOT AVAILABLE,(815) 235-4131,GENERAL ACUTE CARE,OPEN,100,STEPHENSON,USA,42.295776556,-89.638345837,https://data.illinois.gov/,http://www.fhn.org,NON-PROFIT,100,Y
VA MAINE HEALTHCARE SYSTEM TOGUS,1 VA CENTER,AUGUSTA,ME,4330,NOT AVAILABLE,(877) 421-8263,MILITARY,OPEN,-999,KENNEBEC,USA,44.280462082,-69.70435212,https://www.va.gov/directory/guide/allstate.asp,https://www.maine.va.gov/,GOVERNMENT - FEDERAL,-999,N
PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,NOT AVAILABLE,(309) 347-1151,GENERAL ACUTE CARE,OPEN,125,TAZEWELL,USA,40.563128601,-89.632472849,https://data.illinois.gov/,http://www.pekinhospital.org,NON-PROFIT,125,N
MURRAY CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,MURRAY,KY,42071,NOT AVAILABLE,(270) 762-1100,GENERAL ACUTE CARE,OPEN,152,CALLOWAY,USA,36.606888906,-88.309993904,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.murrayhospital.org,GOVERNMENT - LOCAL,152,Y
FLAGET MEMORIAL HOSPITAL,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,KY,40004,NOT AVAILABLE,(502) 350-5000,GENERAL ACUTE CARE,OPEN,40,NELSON,USA,37.861651018,-85.523785834,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.flaget.com,NON-PROFIT,40,Y
MORGAN COUNTY ARH HOSPITAL,476 LIBERTY ROAD,WEST LIBERTY,KY,41472,NOT AVAILABLE,(606) 743-3186,CRITICAL ACCESS,OPEN,25,MORGAN,USA,37.920033137,-83.265575509,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.arh.org,NON-PROFIT,25,Y
CURAHEALTH OKLAHOMA CITY,1407 NORTH ROBINSON AVENUE,OKLAHOMA CITY,OK,73103,NOT AVAILABLE,(405) 232-8000,GENERAL ACUTE CARE,OPEN,93,OKLAHOMA,USA,35.482805957,-97.51627313,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://curahealth.com/our-hospitals/oklahomacity-2/,PROPRIETARY,93,N
WEATHERFORD REGIONAL HOSPITAL,3701 EAST MAIN STREET,WEATHERFORD,OK,73096,NOT AVAILABLE,(580) 772-5551,CRITICAL ACCESS,OPEN,25,CUSTER,USA,35.539276865,-98.662301633,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.weatherfordhospital.com,GOVERNMENT - DISTRICT/AUTHORITY,25,Y
SAIN FRANCIS HOSPITAL VINITA INC,735 NORTH FOREMAN STREET,VINITA,OK,74301,NOT AVAILABLE,(918) 256-7551,GENERAL ACUTE CARE,OPEN,51,CRAIG,USA,36.653408604,-95.15629396,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,https://www.saintfrancis.com/vinita,GOVERNMENT - DISTRICT/AUTHORITY,51,Y
INTEGRIS MIAMI HOSPITAL,200 SECOND STREET SW,MIAMI,OK,74354,NOT AVAILABLE,(918) 542-6611,GENERAL ACUTE CARE,OPEN,117,OTTAWA,USA,36.872670474,-94.880179409,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.integris-health.com,NON-PROFIT,117,Y
CLEVELAND AREA HOSPITAL,1401 WEST PAWNEE STREET,CLEVELAND,OK,74020,NOT AVAILABLE,(918) 358-2501,CRITICAL ACCESS,OPEN,14,PAWNEE,USA,36.309324521,-96.48174236,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.clevelandareahospital.com,GOVERNMENT - DISTRICT/AUTHORITY,14,Y
FAIRFAX COMMUNITY HOSPITAL,40 HOSPITAL ROAD,FAIRFAX,OK,74637,NOT AVAILABLE,(918) 642-3291,CRITICAL ACCESS,OPEN,15,OSAGE,USA,36.563320615,-96.707034094,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.hmccah.com,NON-PROFIT,15,Y
CIMARRON MEMORIAL HOSPITAL,100 SOUTH ELLIS STREET,BOISE CITY,OK,73933,NOT AVAILABLE,(580) 544-2501,CRITICAL ACCESS,OPEN,25,CIMARRON,USA,36.728672739,-102.518064766,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.cimarronmemorialhospital.org,GOVERNMENT - LOCAL,25,N
AVERA DE SMET MEMORIAL HOSPITAL,306 PRAIRIE AVENUE SOUTHWEST,DE SMET,SD,57231,NOT AVAILABLE,(605) 854-3329,CRITICAL ACCESS,OPEN,6,KINGSBURY,USA,44.385945802,-97.561297152,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.avera.org/,NON-PROFIT,6,N
LEAD-DEADWOOD REGIONAL HOSPITAL,61 CHARLES STREET,DEADWOOD,SD,57732,NOT AVAILABLE,(605) 717-6000,CRITICAL ACCESS,OPEN,18,LAWRENCE,USA,44.369626916,-103.728268406,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.regionalhealth.com,GOVERNMENT - STATE,18,N
STURGIS REGIONAL HOSPITAL,949 HARMON STREET,STURGIS,SD,57785,NOT AVAILABLE,(605) 720-2400,CRITICAL ACCESS,OPEN,25,MEADE,USA,44.402272073,-103.507025349,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.regionalhealth.com/Our-Locations/Regional- Hospitals/Sturgis-Regional-Hospital.aspx,NON-PROFIT,25,Y
HAMMOND HENRY HOSPITAL,600 N COLLEGE AVENUE,GENESEO,IL,61254,NOT AVAILABLE,(309) 944-6431,CRITICAL ACCESS,OPEN,61,HENRY,USA,41.460314785,-90.157676845,https://data.illinois.gov/,http://www.hammondhenry.com,GOVERNMENT - DISTRICT/AUTHORITY,61,Y
CRAWFORD MEMORIAL HOSPITAL,1000 NORTH ALLEN STREET,ROBINSON,IL,62454,NOT AVAILABLE,(618) 546-2514,CRITICAL ACCESS,OPEN,63,CRAWFORD,USA,39.014541461,-87.750416765,https://data.illinois.gov/,http://www.crawfordmh.org,GOVERNMENT - DISTRICT/AUTHORITY,63,Y
RED BUD REGIONAL HOSPITAL,325 SPRING STREET,RED BUD,IL,62278,NOT AVAILABLE,(618) 282-3831,CRITICAL ACCESS,OPEN,140,RANDOLPH,USA,38.209037213,-89.996853052,https://data.illinois.gov/,http://www.redbudhospital.com,PROPRIETARY,140,Y
TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568,NOT AVAILABLE,(217) 824-3331,CRITICAL ACCESS,OPEN,45,CHRISTIAN,USA,39.555325371,-89.294259543,https://data.illinois.gov/,http://www.taylorvillememorial.org,NON-PROFIT,45,Y
SALEM TOWNSHIP HOSPITAL,1201 RICKER DRIVE,SALEM,IL,62881,NOT AVAILABLE,(618) 548-3194,CRITICAL ACCESS,OPEN,22,MARION,USA,38.641479887,-88.948550053,https://data.illinois.gov/,http://www.sthcares.org,GOVERNMENT - LOCAL,22,Y
ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,NOT AVAILABLE,(907) 276-1131,GENERAL ACUTE CARE,OPEN,132,ANCHORAGE,USA,61.210739142,-149.82898817,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,http://www.alaskaregional.com/,PROPRIETARY,132,Y
PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,NOT AVAILABLE,(907) 562-2211,GENERAL ACUTE CARE,OPEN,371,ANCHORAGE,USA,61.18876288,-149.819958703,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,www.providence.org/alaska/default.htm,NON-PROFIT,371,Y
SOUTH PENINSULA HOSPITAL,4300 BARTLETT STREET,HOMER,AK,99603,NOT AVAILABLE,(907) 235-8101,CRITICAL ACCESS,OPEN,50,KENAI PENINSULA,USA,59.652470116,-151.550129834,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,http://www.sphosp.com/,GOVERNMENT - DISTRICT/AUTHORITY,50,Y
PROVIDENCE KODIAK ISLAND MEDICAL CENTER,1915 REZANOF DRIVE,KODIAK,AK,99615,NOT AVAILABLE,(907) 486-3281,GENERAL ACUTE CARE,OPEN,25,KODIAK ISLAND,USA,57.800899983,-152.375607731,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,www.providence.org/alaska/default.htm,NON-PROFIT,25,Y
SITKA COMMUNITY HOSPITAL,209 MOLLER AVENUE,SITKA,AK,99835,NOT AVAILABLE,(907) 747-3241,GENERAL ACUTE CARE,OPEN,27,SITKA,USA,57.059761331,-135.346935033,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,www.sitkahospital.org,GOVERNMENT - LOCAL,27,N
PETERSBURG MEDICAL CENTER,103 FRAM ST.,PETERSBURG,AK,99833,NOT AVAILABLE,(907) 772-4291,GENERAL ACUTE CARE,OPEN,27,WRANGELL-PETERSBURG,USA,56.812884075,-132.955205062,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,http://www.pmc-health.com/,GOVERNMENT - LOCAL,27,N
ST. PETER'S HOSPITAL,315 S MANNING BLVD,ALBANY,NY,12208,NOT AVAILABLE,(518) 454-1550,GENERAL ACUTE CARE,OPEN,442,ALBANY,USA,42.655967723,-73.803655974,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.sphcs.org,NON-PROFIT,442,N
CUBA MEMORIAL HOSPITAL,140 W MAIN ST,CUBA,NY,14727,NOT AVAILABLE,(585) 968-2000,CRITICAL ACCESS,OPEN,6,ALLEGANY,USA,42.212922472,-78.287863384,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.cubamemorialhospital.com,NON-PROFIT,6,Y
BENEFIS HEALTH CARE (WEST CAMPUS),500 15TH AVE S,GREAT FALLS,MT,59403,NOT AVAILABLE,(406) 455-5003,GENERAL ACUTE CARE,OPEN,85,CASCADE,USA,47.488810474,-111.298499867,http://dphhs.mt.gov/qad/healthcarefacilitieslist,www.benefis.org,NON-PROFIT,85,Y
SAINT THOMAS RIVER PARK HOSPITAL,1559 SPARTA STREET,MC MINNVILLE,TN,37110,NOT AVAILABLE,(931) 815-4101,GENERAL ACUTE CARE,OPEN,125,WARREN,USA,35.699844491,-85.742978922,https://apps.health.tn.gov/FacilityListings,http://www.sthealth.com/locations/saint-thomas-river-park-hospital,NON-PROFIT,125,Y
COPPER BASIN MEDICAL CENTER,144 MEDICAL CENTER DR,COPPERHILL,TN,37317,NOT AVAILABLE,(423) 496-5511,GENERAL ACUTE CARE,CLOSED,25,POLK,USA,35.0269471,-84.385710512,https://apps.health.tn.gov/FacilityListings,http://www.copperbasin.org,NON-PROFIT,25,Y
CUMBERLAND RIVER HOSPITAL,100 OLD JEFFERSON STREET,CELINA,TN,38551,NOT AVAILABLE,(931) 243-3581,GENERAL ACUTE CARE,OPEN,34,CLAY,USA,36.544126154,-85.50049893,https://apps.health.tn.gov/FacilityListings,http://www.cumberlandriverhospital.com,PROPRIETARY,34,Y
TRISTAR ASHLAND CITY MEDICAL CENTER,313 NORTH MAIN STREET,ASHLAND CITY,TN,37015,NOT AVAILABLE,(615) 792-2401,CRITICAL ACCESS,OPEN,12,CHEATHAM,USA,36.277119589,-87.065594728,https://apps.health.tn.gov/FacilityListings,http://tristarashlandcity.com/,PROPRIETARY,12,N
MEMPHIS VETERANS AFFAIRS MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,NOT AVAILABLE,(901) 523-8990,MILITARY,OPEN,280,SHELBY,USA,35.143520747,-90.026343679,https://www.va.gov/directory/guide/allstate.asp,http://www.memphis.va.gov/,GOVERNMENT - FEDERAL,280,N
BIG SOUTH FORK MEDICAL CENTER,18797 ALBERTA AVENUE,ONEIDA,TN,37841,NOT AVAILABLE,(423) 569-8521,GENERAL ACUTE CARE,OPEN,25,SCOTT,USA,36.504424885,-84.515863673,http://tnmap.state.tn.us/portal/metadata.asp,http://www.scottcounty.com/healthcare/hospital,PROPRIETARY,25,Y
SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,TN,37643,NOT AVAILABLE,(423) 542-1300,GENERAL ACUTE CARE,OPEN,121,CARTER,USA,36.345867056,-82.250001671,https://apps.health.tn.gov/FacilityListings,http://www.msha.com/hospitals/sycamore_shoals_hospital_l_elizabethton_tn.aspx,NON-PROFIT,121,N
RIVERVIEW REGIONAL MEDICAL CENTER,158 HOSPITAL DRIVE,CARTHAGE,TN,37030,NOT AVAILABLE,(615) 735-1560,GENERAL ACUTE CARE,OPEN,35,SMITH,USA,36.264253457,-85.949745369,https://apps.health.tn.gov/FacilityListings,http://www.myriverviewmedical.com/,PROPRIETARY,35,N
FORT LOUDOUN MEDICAL CENTER,550 FORT LOUDOUN MEDICAL CENTER DR,LENOIR CITY,TN,37772,NOT AVAILABLE,(865) 271-6000,GENERAL ACUTE CARE,OPEN,50,LOUDON,USA,35.825172167,-84.270180794,https://apps.health.tn.gov/FacilityListings,http://www.ftloudoun.com/,NON-PROFIT,50,Y
TRISTAR SOUTHERN HILLS MEDICAL CENTER,391 WALLACE ROAD,NASHVILLE,TN,37211,NOT AVAILABLE,(615) 781-4000,GENERAL ACUTE CARE,OPEN,126,DAVIDSON,USA,36.076382374,-86.721892131,https://apps.health.tn.gov/FacilityListings,http://tristarsouthernhills.com/,PROPRIETARY,126,N
PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVENUE,CHATTANOOGA,TN,37404,NOT AVAILABLE,(423) 894-4220,GENERAL ACUTE CARE,OPEN,275,HAMILTON,USA,35.034929491,-85.267482278,https://apps.health.tn.gov/FacilityListings,http://www.parkridgemedicalcenter.com,PROPRIETARY,275,Y
PARKRIDGE EAST HOSPITAL,941 SPRING CREEK ROAD,CHATTANOOGA,TN,37412,NOT AVAILABLE,(423) 894-7870,GENERAL ACUTE CARE,OPEN,128,HAMILTON,USA,34.998802916,-85.218942363,https://apps.health.tn.gov/FacilityListings,http://parkridgeeasthospital.com/,PROPRIETARY,128,N
PARKRIDGE VALLEY HOSPITAL,2200 MORRIS HILL ROAD,CHATTANOOGA,TN,37421,NOT AVAILABLE,(423) 894-4220,GENERAL ACUTE CARE,OPEN,100,HAMILTON,USA,35.026859233,-85.121455827,https://apps.health.tn.gov/FacilityListings,http://parkridgevalley.com/about/,PROPRIETARY,100,N
MEMORIAL HEALTH CARE SYSTEM,2525 DESALES AVENUE,CHATTANOOGA,TN,37404,NOT AVAILABLE,(423) 495-2525,GENERAL ACUTE CARE,OPEN,336,HAMILTON,USA,35.041574614,-85.260026622,https://apps.health.tn.gov/FacilityListings,http://www.memorial.org,NON-PROFIT,336,Y
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCEBURG,"1607 S LOCUST AVE,",LAWRENCEBURG,TN,38464,NOT AVAILABLE,(931) 762-6571,GENERAL ACUTE CARE,OPEN,90,LAWRENCE,USA,35.221954595,-87.338303332,https://apps.health.tn.gov/FacilityListings,http://southerntnlawrenceburg.com/,PROPRIETARY,90,Y
UNITED REGIONAL MEDICAL CENTER,1001 MCARTHUR ST,MANCHESTER,TN,37355,NOT AVAILABLE,(931) 728-3586,GENERAL ACUTE CARE,CLOSED,36,COFFEE,USA,35.469006385,-86.084070338,http://tnmap.state.tn.us/portal/metadata.asp,http://www.urmchealthcare.com,PROPRIETARY,36,Y
METHODIST HEALTHCARE - FAYETTE HOSPITAL,214 LAKEVIEW DRIVE,SOMERVILLE,TN,38068,NOT AVAILABLE,(901) 465-3594,GENERAL ACUTE CARE,CLOSED,10,FAYETTE,USA,35.246831281,-89.36379663,http://tnmap.state.tn.us/portal/metadata.asp,http://www.methodisthealth.org,NON-PROFIT,10,Y
BAPTIST MEMORIAL HOSPITAL TIPTON,1995 HIGHWAY 51 S,COVINGTON,TN,38019,NOT AVAILABLE,(901) 476-2621,GENERAL ACUTE CARE,OPEN,100,TIPTON,USA,35.535710159,-89.677606689,https://apps.health.tn.gov/FacilityListings,http://www.baptistonline.org/tipton/,NON-PROFIT,100,Y
SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,NOT AVAILABLE,(615) 452-4210,GENERAL ACUTE CARE,OPEN,145,SUMNER,USA,36.390014088,-86.434095825,https://apps.health.tn.gov/FacilityListings,http://www.mysumnermedical.com,PROPRIETARY,145,Y
INDIAN PATH MEDICAL CENTER,2000 BROOKSIDE DRIVE,KINGSPORT,TN,37660,NOT AVAILABLE,(423) 857-7000,GENERAL ACUTE CARE,OPEN,239,SULLIVAN,USA,36.550809026,-82.514276141,https://apps.health.tn.gov/FacilityListings,http://www.msha.com,NON-PROFIT,239,Y
WELLMONT HAWKINS COUNTY MEMORIAL HOSPITA,851 LOCUST STREET,ROGERSVILLE,TN,37857,NOT AVAILABLE,(423) 921-7000,GENERAL ACUTE CARE,OPEN,50,HAWKINS,USA,36.400219274,-83.014233574,https://apps.health.tn.gov/FacilityListings,http://www.wellmont.org,NON-PROFIT,50,Y
TENNOVA HEALTHCARE - VOLUNTEER MARTIN,161 MOUNT PELIA ROAD,MARTIN,TN,38237,NOT AVAILABLE,(731) 587-4261,GENERAL ACUTE CARE,OPEN,100,WEAKLEY,USA,36.334748376,-88.868496273,https://apps.health.tn.gov/FacilityListings,http://www.tennovawest.com/locations/tennova-healthcare-volunteer-martin,PROPRIETARY,100,Y
"SAINT THOMAS HIGHLANDS HOSPITAL, LLC",401 SEWELL ROAD,SPARTA,TN,38583,NOT AVAILABLE,(931) 738-9211,GENERAL ACUTE CARE,OPEN,60,WHITE,USA,35.949161291,-85.477237147,https://apps.health.tn.gov/FacilityListings,http://www.sthealth.com/locations/saint-thomas-highlands-hospital,NON-PROFIT,60,Y
ROANE MEDICAL CENTER,412 DEVONIA STREET,HARRIMAN,TN,37748,NOT AVAILABLE,(865) 882-1323,GENERAL ACUTE CARE,CLOSED,36,ROANE,USA,35.934965091,-84.551726413,http://tnmap.state.tn.us/portal/metadata.asp,http://www.roanemedical.com,NON-PROFIT,36,Y
MIDDLE TENNESSEE MEDICAL CENTER,400 N. HIGHLAND AVENUE,MURFREESBORO,TN,37130,NOT AVAILABLE,(615) 386-4995,GENERAL ACUTE CARE,CLOSED,-999,RUTHERFORD,USA,35.848795926,-86.382295383,http://tnmap.state.tn.us/portal/metadata.asp,http://www.sthealth.com/,NOT AVAILABLE,-999,N
TRISTAR STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,SMYRNA,TN,37167,NOT AVAILABLE,(615) 768-2000,GENERAL ACUTE CARE,OPEN,101,RUTHERFORD,USA,35.975034258,-86.565202155,https://apps.health.tn.gov/FacilityListings,http://tristarstonecrest.com/,PROPRIETARY,101,Y
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM WINCHESTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,NOT AVAILABLE,(931) 967-8200,GENERAL ACUTE CARE,OPEN,153,FRANKLIN,USA,35.175886671,-86.09013143,https://apps.health.tn.gov/FacilityListings,http://www.southerntennessee.com,PROPRIETARY,153,Y
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM SEWANEE,1260 UNIVERSITY AVENUE,SEWANEE,TN,37375,NOT AVAILABLE,(931) 598-5691,GENERAL ACUTE CARE,OPEN,21,FRANKLIN,USA,35.208063352,-85.913861391,https://apps.health.tn.gov/FacilityListings,http://www.southerntnsewanee.com/,PROPRIETARY,21,Y
HUMBOLDT GENERAL HOSPITAL,3525 CHERE CAROL ROAD,HUMBOLDT,TN,38343,NOT AVAILABLE,(731) 784-2321,GENERAL ACUTE CARE,CLOSED,30,GIBSON,USA,35.815846841,-88.895251334,http://tnmap.state.tn.us/portal/metadata.asp,http://www.wth.net,GOVERNMENT - DISTRICT/AUTHORITY,30,Y
MILAN GENERAL HOSPITAL,4039 HIGHLAND ST,MILAN,TN,38358,NOT AVAILABLE,(731) 686-1591,GENERAL ACUTE CARE,OPEN,70,GIBSON,USA,35.912286405,-88.754141319,https://apps.health.tn.gov/FacilityListings,http://www.wth.org/locations/milan-general-hospital,GOVERNMENT - DISTRICT/AUTHORITY,70,Y
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 EAST COLLEGE STREET,PULASKI,TN,38478,NOT AVAILABLE,(931) 363-7531,GENERAL ACUTE CARE,OPEN,95,GILES,USA,35.189240941,-87.004121387,https://apps.health.tn.gov/FacilityListings,http://www.southerntennessee.com/,PROPRIETARY,95,Y
TENNOVA HEALTHCARE - JEFFERSON MEMORIAL HOSPITAL,110 HOSPITAL DRIVE,JEFFERSON CITY,TN,37760,NOT AVAILABLE,(865) 471-2500,GENERAL ACUTE CARE,OPEN,54,JEFFERSON,USA,36.106638439,-83.518909411,https://apps.health.tn.gov/FacilityListings,http://www.tennovaeast.com/locations/jefferson-memorial-hospital,PROPRIETARY,54,Y
HOUSTON COUNTY COMMUNITY HOSPITAL,5001 E. MAIN STREET,ERIN,TN,37061,NOT AVAILABLE,(931) 289-4211,GENERAL ACUTE CARE,OPEN,25,HOUSTON,USA,36.320170566,-87.689643486,https://apps.health.tn.gov/FacilityListings,http://www.patientschoicemedicalcenter.com/,PROPRIETARY,25,Y
SAINT THOMAS HICKMAN HOSPITAL,135 EAST SWAN STREET,CENTERVILLE,TN,37033,NOT AVAILABLE,(931) 729-4271,CRITICAL ACCESS,OPEN,25,HICKMAN,USA,35.779486903,-87.458960114,https://apps.health.tn.gov/FacilityListings,http://www.sthealth.com/locations/saint-thomas-hickman-hospital,NON-PROFIT,25,Y
LAUGHLIN MEMORIAL HOSPITAL,1420 TUSCULUM BOULEVARD,GREENEVILLE,TN,37745,NOT AVAILABLE,(423) 787-5000,GENERAL ACUTE CARE,OPEN,140,GREENE,USA,36.173533366,-82.790238511,https://apps.health.tn.gov/FacilityListings,http://www.laughlinmemorial.org,NON-PROFIT,140,Y
TAKOMA ADVENTIST HOSPITAL,401 TAKOMA AVENUE,GREENEVILLE,TN,37743,NOT AVAILABLE,(423) 639-3151,GENERAL ACUTE CARE,OPEN,100,GREENE,USA,36.151299641,-82.84567491,https://apps.health.tn.gov/FacilityListings,http://www.takoma.org,NON-PROFIT,100,Y
JOHNSON COUNTY HEALTH CENTER,1901 SOUTH SHADY STREET,MOUNTAIN CITY,TN,37683,NOT AVAILABLE,(423) 727-1100,GENERAL ACUTE CARE,OPEN,-999,JOHNSON,USA,36.453555952,-81.797680628,https://apps.health.tn.gov/FacilityListings,http://www.msha.com/hospitals/johnson_county_community_hospital_l_mountain_city_tn.aspx,NON-PROFIT,-999,Y
BAPTIST HOSPITAL OF EAST TENNESSEE,137 BLOUNT AVENUE,KNOXVILLE,TN,37920,NOT AVAILABLE,(865) 632-5011,GENERAL ACUTE CARE,CLOSED,-999,KNOX,USA,35.955245645,-83.914459568,http://tnmap.state.tn.us/portal/metadata.asp,NOT AVAILABLE,NON-PROFIT,-999,N
PARKWEST MEDICAL CENTER,9352 PARK WEST BOULEVARD,KNOXVILLE,TN,37923,NOT AVAILABLE,(865) 373-1001,GENERAL ACUTE CARE,OPEN,297,KNOX,USA,35.917072445,-84.100643793,https://apps.health.tn.gov/FacilityListings,http://www.yesparkwest.com,NON-PROFIT,297,Y
FORT SANDERS REGIONAL MEDICAL CENTER,1901 CLINCH AVENUE,KNOXVILLE,TN,37916,NOT AVAILABLE,(865) 541-1101,GENERAL ACUTE CARE,OPEN,402,KNOX,USA,35.957031721,-83.937209903,https://apps.health.tn.gov/FacilityListings,http://www.covenanthealth.com,NON-PROFIT,402,Y
TENNOVA HEALTHCARE TURKEY CREEK MEDICAL CENTER,10820 PARKSIDE DRIVE,KNOXVILLE,TN,37934,NOT AVAILABLE,(865) 218-7011,GENERAL ACUTE CARE,OPEN,101,KNOX,USA,35.89849035,-84.144295289,https://apps.health.tn.gov/FacilityListings,http://www.tennovaeast.com/locations/turkey-creek-medical-center,PROPRIETARY,101,Y
TENNOVA HEALTHCARE NORTH KNOXVILLE MEDICAL CENTER,7565 DANNAHER DRIVE,POWELL,TN,37849,NOT AVAILABLE,(865) 859-8000,GENERAL ACUTE CARE,OPEN,250,KNOX,USA,36.052842366,-83.997802755,https://apps.health.tn.gov/FacilityListings,http://www.tennovaeast.com/locations/north-knoxville-medical-center,PROPRIETARY,250,N
JAMES H. QUILLEN VA MEDICAL CENTER,809 LAMONT ST,MOUNTAIN HOME,TN,37684,NOT AVAILABLE,(423) 926-1171,MILITARY,OPEN,-999,WASHINGTON,USA,36.309137958,-82.370206332,https://www.va.gov/directory/guide/allstate.asp,http://www.mountainhome.va.gov/,GOVERNMENT - FEDERAL,-999,N
TENNOVA HEALTHCARE - CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,NOT AVAILABLE,(423) 559-6000,GENERAL ACUTE CARE,OPEN,140,BRADLEY,USA,35.177198167,-84.869905614,https://apps.health.tn.gov/FacilityListings,http://www.tennovaeast.com/locations/tennova-healthcare-cleveland,PROPRIETARY,140,Y
